"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"42",42,"Utvisning","09:34",NA,"Viktor Johansson","Gimonäs Umeå IF","Period3","Hårt spel 2",2,"Umeå City IBF - Gimonäs Umeå IF","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"43",43,"Utvisning","13:24",NA,"Helmer Wiklund","Gimonäs Umeå IF","Period3","Obstruktion",2,"Umeå City IBF - Gimonäs Umeå IF","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"44",44,"Utvisning","08:04",NA,"Alexander Westman","IBF Dalen","Period1","Obstruktion",2,"IBF Dalen - Skellefteå IBS","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"45",45,"Utvisning","18:11",NA,"Rasmus Sivertsson","IBF Dalen","Period1","Hög klubba",2,"IBF Dalen - Skellefteå IBS","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"46",46,"Utvisning","18:55",NA,"Simon Blom","Skellefteå IBS","Period1","Otillåten trängning",2,"IBF Dalen - Skellefteå IBS","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"47",47,"Utvisning","08:47",NA,"Philip Holmström","IBF Dalen","Period2","Lyftning av klubba",2,"IBF Dalen - Skellefteå IBS","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"48",48,"Utvisning","12:25",NA,"Sam Gillblad","Skellefteå IBS","Period2","Hands",2,"IBF Dalen - Skellefteå IBS","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"49",49,"Utvisning","02:23",NA,"Emanuel Nyström","Skellefteå IBS","Period3","Obstruktion",2,"IBF Dalen - Skellefteå IBS","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"50",50,"Utvisning","03:31",NA,"Oskar Johansson","IBF Dalen","Period3","Hårt spel 5",5,"IBF Dalen - Skellefteå IBS","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"51",51,"Utvisning","05:36",NA,"Pelle Forsberg","IBF Dalen","Period3","Felaktigt byte",2,"IBF Dalen - Skellefteå IBS","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"52",52,"Utvisning","18:18",NA,"Emil Wiklund","Skellefteå IBS","Period3","Otillåten trängning",2,"IBF Dalen - Skellefteå IBS","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"53",53,"Utvisning","12:00",NA,"Ibrahim Mohamed","Gimonäs Umeå IF","Period1","Slag",2,"Umeå City IBF - Gimonäs Umeå IF","Joni Güzel","Peter Poopuu","Joni Güzel, Peter Poopuu"
"54",54,"Utvisning","12:55",NA,"Ibrahim Mohamed","Gimonäs Umeå IF","Period1","Otillåten trängning",2,"Umeå City IBF - Gimonäs Umeå IF","Joni Güzel","Peter Poopuu","Joni Güzel, Peter Poopuu"
"55",55,"Utvisning","18:24",NA,"Noah Zakrisson","Gimonäs Umeå IF","Period1","Fasthållning",2,"Umeå City IBF - Gimonäs Umeå IF","Joni Güzel","Peter Poopuu","Joni Güzel, Peter Poopuu"
"56",56,"Utvisning","05:28",NA,"Victor Olofsson-Nilsson","Umeå City IBF","Period3","Otillåten trängning",2,"Umeå City IBF - Gimonäs Umeå IF","Joni Güzel","Peter Poopuu","Joni Güzel, Peter Poopuu"
"57",57,"Utvisning","15:53",NA,"Noah Zakrisson","Gimonäs Umeå IF","Period3","Obstruktion",2,"Umeå City IBF - Gimonäs Umeå IF","Joni Güzel","Peter Poopuu","Joni Güzel, Peter Poopuu"
"58",58,"Utvisning","02:58",NA,"Tim Sjöström","Gamla Stan IBK","Period3","Slag",2,"Ersboda SK - Gamla Stan IBK","Mathias Bergsdorf","Peter Saari","Mathias Bergsdorf, Peter Saari"
"59",59,"Utvisning","03:41",NA,"Ted Persson","Robertsfors IK","Period2","Protest mot domslut",2,"Robertsfors IK - Hörnefors IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"60",60,"Utvisning","13:49",NA,"Jimmy Eriksson","Hörnefors IF","Period3","Obstruktion",2,"Robertsfors IK - Hörnefors IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
