"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"85",85,85,"Jonas Ahlehjelm, David Lundberg","Sävaråhallen",2,3,"Obbola IK",1
"86",86,86,"Jonas Ahlehjelm, Frida Nilsson","Vildmannahallen",1,1,"IK SPIF Umeå",1
"87",87,87,"Jonas Ahlehjelm, Frida Nilsson","Vildmannahallen",1,1,"Gimonäs Umeå IBF",1
"88",88,88,"Joni Güzel, Peter Poopuu","Sjöfruhallen",1,1,"Gullänget-Kroksta IBS",1
"89",89,89,"Joni Güzel, Peter Poopuu","Sjöfruhallen",1,1,"Gimonäs Umeå IBF",1
"90",90,90,"Jörgen Lundberg, Jens Marklund","Eddahallen",2,2,"Obbola IK",1
"91",91,91,"Jörgen Lundberg, Jens Marklund","Eddahallen",2,2,"Rönnskär Railcare IF",1
"92",92,92,"Jörgen Lundberg, Jens Marklund","Eddahallen",2,2,"Clemensnäs IF",1
"93",93,93,"Jörgen Lundberg, Jens Marklund","Eddahallen",2,2,"IBF Skellefteå",1
"94",94,94,"Lasse Ekesryd, Micael Holmbom","Eddahallen",1,1,"Clemensnäs IF",1
"95",95,95,"Lasse Ekesryd, Micael Holmbom","Eddahallen",1,1,"Rönnskär Railcare IF",1
"96",96,96,"Lasse Ekesryd, Ville Hedsberg","Eddahallen",1,1,"Rönnskär Railcare IF",1
"97",97,97,"Lasse Ekesryd, Ville Hedsberg","Eddahallen",1,1,"Spöland Vännäs IF",1
"98",98,98,"Manuel Garzon, Thanasis Provatas","Sävaråhallen",1,1,"Clemensnäs IF",1
"99",99,99,"Manuel Garzon, Thanasis Provatas","Sävaråhallen",1,1,"Täfteå IK",1
"100",100,100,"Mats Erelund, Viktor Grahn","Midgårdshallen",1,1,"Team Thorengruppen Ungdom SK",1
"101",101,101,"Mats Erelund, Viktor Grahn","Midgårdshallen",1,1,"Rönnskär Railcare IF",1
"102",102,102,"Mattias Karlsson, Roger Karlsson","Sporthallen Musköten",1,1,"Örnsköldsvik IBF",1
"103",103,103,"Mattias Karlsson, Roger Karlsson","Sporthallen Musköten",1,1,"IBS Dalen",1
"104",104,104,"Micael Holmbom, Johan Rönnberg","Eddahallen",1,1,"Clemensnäs IF",1
"105",105,105,"Micael Holmbom, Johan Rönnberg","Eddahallen",1,1,"Täfteå IK",1
"106",106,106,"Mikael Körning, Anders Öbergh","Hammarhallen Vännäs",1,6,"IBF Skellefteå",1
"107",107,107,"Mikael Körning, Anders Öbergh","Hammarhallen Vännäs",1,6,"Spöland Vännäs IF",1
"108",108,108,"Mikael Körning, Anders Öbergh","Köpmanholmens Sporthall",1,6,"Spöland Vännäs IF",1
"109",109,109,"Mikael Körning, Anders Öbergh","Köpmanholmens Sporthall",1,6,"Örnsköldsvik IBF",1
"110",110,110,"Mikael Körning, Anders Öbergh","Midgårdshallen",1,6,"IBK Umeå Norr",1
"111",111,111,"Mikael Körning, Anders Öbergh","Midgårdshallen",1,6,"Clemensnäs IF",1
"112",112,112,"Mikael Körning, Anders Öbergh","Skyttis Arena",3,6,"Obbola IK",1
"113",113,113,"Mikael Körning, Anders Öbergh","Skyttis Arena",3,6,"Örnsköldsvik IBF",1
"114",114,114,"Mikael Körning, Anders Öbergh","Skyttis Arena",3,6,"Team Thorengruppen Ungdom SK",1
"115",115,115,"Mikael Körning, Anders Öbergh","Skyttis Arena",3,6,"Gullänget-Kroksta IBS",3
"116",116,116,"Morgan Poopuu, Peter Poopuu","Sävaråhallen",1,1,"Spöland Vännäs IF",1
"117",117,117,"Morgan Poopuu, Peter Poopuu","Sävaråhallen",1,1,"Täfteå IK",1
"118",118,118,"Olle Eliasson, Thomas Jonsson","Sävaråhallen",1,1,"IBK Umeå Norr",1
