"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"317",317,"Utvisning","18:21",NA,"Ellen Bergsdorf","Röbäcks IF","Period3","Otillåten trängning",2,"Obbola IK - Röbäcks IF","Björn Glad","Robert Segerstedt","Björn Glad, Robert Segerstedt"
"318",318,"Utvisning","19:28",NA,"Sandra Nilsson","Spöland Vännäs IF","Period2","Obstruktion",2,"Spöland Vännäs IF - Obbola IK","Klas Höglund","Alvina Mukkala","Klas Höglund, Alvina Mukkala"
"319",319,"Utvisning","06:08",NA,"Alva Granqvist","Spöland Vännäs IF","Period3","Protest mot domslut",2,"Spöland Vännäs IF - Obbola IK","Klas Höglund","Alvina Mukkala","Klas Höglund, Alvina Mukkala"
"320",320,"Utvisning","09:34",NA,"Malin Dahlgren","Obbola IK","Period3","Slag",2,"Spöland Vännäs IF - Obbola IK","Klas Höglund","Alvina Mukkala","Klas Höglund, Alvina Mukkala"
"321",321,"Utvisning","17:08",NA,"Sanna Vännström","Obbola IK","Period3","Hårt spel 2",2,"Spöland Vännäs IF - Obbola IK","Klas Höglund","Alvina Mukkala","Klas Höglund, Alvina Mukkala"
"322",322,"Utvisning","18:54",NA,"Olivia Hjalmarsson","Obbola IK","Period3","Osportsligt uppträdande",12,"Spöland Vännäs IF - Obbola IK","Klas Höglund","Alvina Mukkala","Klas Höglund, Alvina Mukkala"
"323",323,"Utvisning","11:11",NA,"Ellen Bergsdorf","Röbäcks IF","Period2","Slag",2,"Täfteå IK /Sävar IK - Röbäcks IF","Lydia Elstig","Sanna Åslin","Lydia Elstig, Sanna Åslin"
"324",324,"Utvisning","18:34",NA,"Irma Frank","Röbäcks IF","Period3","För många spelare på plan",2,"Täfteå IK /Sävar IK - Röbäcks IF","Lydia Elstig","Sanna Åslin","Lydia Elstig, Sanna Åslin"
"325",325,"Utvisning","13:11",NA,"Madeleine Johansson","Örnsköldsvik IBK /IBF","Period3","Fördröjande av spelet",2,"Gimonäs Umeå IF - Örnsköldsvik IBK /IBF","Alvina Mukkala","Robert Segerstedt","Alvina Mukkala, Robert Segerstedt"
"326",326,"Utvisning","16:45",NA,"Elsa Holmberg","Röbäcks IF","Period2","Felaktigt avstånd",2,"Röbäcks IF - Skellefteå IBK","Gustav Broadhall","Robert Segerstedt","Gustav Broadhall, Robert Segerstedt"
"327",327,"Utvisning","11:00",NA,"Emma Åström","Röbäcks IF","Period3","Slag",2,"Röbäcks IF - Skellefteå IBK","Gustav Broadhall","Robert Segerstedt","Gustav Broadhall, Robert Segerstedt"
"328",328,"Utvisning","00:00",NA,"Lisabeth Öhlin","Kågedalens AIF","Period2","Fasthållning",2,"Clemensnäs IF /Bureå IF - Kågedalens AIF","Joakim Broman","Andreas Åström","Joakim Broman, Andreas Åström"
"329",329,"Utvisning","18:39",NA,"Miriam Hellberg","Clemensnäs IF /Bureå IF","Period2","Obstruktion",2,"Clemensnäs IF /Bureå IF - Kågedalens AIF","Joakim Broman","Andreas Åström","Joakim Broman, Andreas Åström"
"330",330,"Utvisning","01:12",NA,"Ebba Elenius","Rönnskär Railcare IF","Period1","Slag",2,"Rönnskär Railcare IF - Gamla Stan IBK","Daniel Degerman","Andreas Åström","Daniel Degerman, Andreas Åström"
"331",331,"Utvisning","15:50",NA,"Ebba Elenius","Rönnskär Railcare IF","Period1","Nick",2,"Rönnskär Railcare IF - Gamla Stan IBK","Daniel Degerman","Andreas Åström","Daniel Degerman, Andreas Åström"
"332",332,"Utvisning","14:57",NA,"Emmy Helander","Rönnskär Railcare IF","Period2","Slag",2,"Rönnskär Railcare IF - Gamla Stan IBK","Daniel Degerman","Andreas Åström","Daniel Degerman, Andreas Åström"
"333",333,"Utvisning","15:53",NA,"Ebba Elenius","Rönnskär Railcare IF","Period3","Straff pga hopp",2,"Rönnskär Railcare IF - Gamla Stan IBK","Daniel Degerman","Andreas Åström","Daniel Degerman, Andreas Åström"
"334",334,"Utvisning","16:27",NA,"Ellen Fahlgren","Gamla Stan IBK","Period3","Otillåten trängning",2,"Rönnskär Railcare IF - Gamla Stan IBK","Daniel Degerman","Andreas Åström","Daniel Degerman, Andreas Åström"
"335",335,"Utvisning","18:08",NA,"Fia Rhodin","Gimonäs Umeå IF","Period1","Liggande spel",2,"Kågedalens AIF - Gimonäs Umeå IF","Daniel Degerman","Micael Holmbom","Daniel Degerman, Micael Holmbom"
"336",336,"Utvisning","02:16",NA,"Tindra Rönnlund","Gimonäs Umeå IF","Period2","Slag",2,"Kågedalens AIF - Gimonäs Umeå IF","Daniel Degerman","Micael Holmbom","Daniel Degerman, Micael Holmbom"
"337",337,"Utvisning","17:09",NA,"Lina Eriksson","Kågedalens AIF","Period2","Slag",2,"Kågedalens AIF - Gimonäs Umeå IF","Daniel Degerman","Micael Holmbom","Daniel Degerman, Micael Holmbom"
"338",338,"Utvisning","15:14",NA,"Lillie Jonsson","Gamla Stan IBK","Period3","Liggande spel",2,"Umeå City IBF - Gamla Stan IBK","Alexandra Nimrodsson","Sanna Åslin","Alexandra Nimrodsson, Sanna Åslin"
"339",339,"Utvisning","09:07",NA,"Nea Englund-Jonsson","Clemensnäs IF /Bureå IF","Period3","Hög klubba",2,"Örnsköldsvik IBK /IBF - Clemensnäs IF /Bureå IF","Joakim Broman","Andreas Åström","Joakim Broman, Andreas Åström"
"340",340,"Utvisning","15:43",NA,"Elina Lindelöf","Örnsköldsvik IBK /IBF","Period3","Otillåten trängning",2,"Örnsköldsvik IBK /IBF - Clemensnäs IF /Bureå IF","Joakim Broman","Andreas Åström","Joakim Broman, Andreas Åström"
"341",341,"Utvisning","03:22",NA,"Saga Hunesjö","Rönnskär Railcare IF","Period3","Obstruktion",2,"Rönnskär Railcare IF - Clemensnäs IF /Bureå IF","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
"342",342,"Utvisning","00:36",NA,"Kajsa Cederlund","Gamla Stan IBK","Period1","Felaktigt avstånd",2,"Kågedalens AIF - Gamla Stan IBK","Daniel Degerman","Lasse Ekesryd","Daniel Degerman, Lasse Ekesryd"
"343",343,"Utvisning","01:20",NA,"Lina Söderlund","Kågedalens AIF","Period1","Slag",2,"Kågedalens AIF - Gamla Stan IBK","Daniel Degerman","Lasse Ekesryd","Daniel Degerman, Lasse Ekesryd"
"344",344,"Utvisning","10:52",NA,"Ellen Fahlgren","Gamla Stan IBK","Period2","Otillåten trängning",2,"Kågedalens AIF - Gamla Stan IBK","Daniel Degerman","Lasse Ekesryd","Daniel Degerman, Lasse Ekesryd"
"345",345,"Utvisning","15:37",NA,"Klara Lindblom","Gamla Stan IBK","Period2","Slag",2,"Kågedalens AIF - Gamla Stan IBK","Daniel Degerman","Lasse Ekesryd","Daniel Degerman, Lasse Ekesryd"
"346",346,"Utvisning","17:46",NA,"Lina Söderlund","Kågedalens AIF","Period2","Hårt spel 2",2,"Kågedalens AIF - Gamla Stan IBK","Daniel Degerman","Lasse Ekesryd","Daniel Degerman, Lasse Ekesryd"
"347",347,"Utvisning","19:40",NA,"Kajsa Cederlund","Gamla Stan IBK","Period2","För många spelare på plan",2,"Kågedalens AIF - Gamla Stan IBK","Daniel Degerman","Lasse Ekesryd","Daniel Degerman, Lasse Ekesryd"
"348",348,"Utvisning","14:39",NA,"Alice Holmbom","Kågedalens AIF","Period3","Slag",2,"Kågedalens AIF - Gamla Stan IBK","Daniel Degerman","Lasse Ekesryd","Daniel Degerman, Lasse Ekesryd"
"349",349,"Utvisning","10:25",NA,"Emilia Haldebo","Gamla Stan IBK","Period1","Felaktigt byte",2,"Gamla Stan IBK - Gimonäs Umeå IF","Joakim Broman","Andreas Åström","Joakim Broman, Andreas Åström"
"350",350,"Utvisning","18:23",NA,"Moa Larsson","Röbäcks IF","Period1","Otillåten trängning",2,"Röbäcks IF - IBF Dalen/Sandåkerns SK","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"351",351,"Utvisning","06:14",NA,"Julia Wedman","Röbäcks IF","Period2","Slag",2,"Röbäcks IF - IBF Dalen/Sandåkerns SK","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"352",352,"Utvisning","13:07",NA,"Ellen Bergsdorf","Röbäcks IF","Period2","Hårt spel 2",2,"Röbäcks IF - IBF Dalen/Sandåkerns SK","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"353",353,"Utvisning","08:57",NA,"Julia Persson","IBF Dalen/Sandåkerns SK","Period3","Otillåten trängning",2,"Röbäcks IF - IBF Dalen/Sandåkerns SK","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"354",354,"Utvisning","11:46",NA,"Naja Axelsson","Ersboda SK","Period3","Otillåten trängning",2,"Holmsund City IBC/GUIF - Ersboda SK","Lydia Elstig","Hanna Wendén","Lydia Elstig, Hanna Wendén"
"355",355,"Utvisning","16:40",NA,"Amanda Stenvall","Holmsund City IBC/GUIF","Period3","Felaktigt avstånd",2,"Holmsund City IBC/GUIF - Ersboda SK","Lydia Elstig","Hanna Wendén","Lydia Elstig, Hanna Wendén"
"356",356,"Utvisning","12:51",NA,"Kajsa Lundström","Skellefteå IBK","Period2","För många spelare på plan",2,"Vindelns IF - Skellefteå IBK","David Karlsson","Rasmus Säfvenberg","David Karlsson, Rasmus Säfvenberg"
"357",357,"Utvisning","15:04",NA,"Sandra Eriksson","Vindelns IF","Period2","Osportsligt uppträdande",12,"Vindelns IF - Skellefteå IBK","David Karlsson","Rasmus Säfvenberg","David Karlsson, Rasmus Säfvenberg"
