"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"23","Räddad straff","10:24","","Lina Hägg","Sundsvalls IBF","Period2","Älvsjö AIK IBF - Sundsvalls IBF","Straff","Jonas Nordqvist","Anders Ståhlberg","Jonas Nordqvist, Anders Ståhlberg"
"24","Räddad straff","09:14","","Johanna Kauppinen","FBI Tullinge","Period1","FBI Tullinge - Älvsjö AIK IBF","Straff","Pierre Borghoff","Tobias Ekmark","Pierre Borghoff, Tobias Ekmark"
"25","Straffmål","04:56","2-0","Anna Lindell","IBK Lund Elit","Period2","IBK Lund Elit - Röke IBK","Straff","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"26","Straffmål","18:29","4-3","Emma Lunman","Lindome IBK","Period3","Lindome IBK - Fröjereds IF","Straff","Kevin Larsson","Henrik Lord Johansson","Kevin Larsson, Henrik Lord Johansson"
"27","Missad straff","08:16","","Moa Håkansson","Notvikens IK","Period2","Notvikens IK - RIG Umeå IBF","Straff","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"28","Missad straff","07:21","","Tone Einstulen","IBF Falun","Period1","Strömsbro IF - IBF Falun","Straff","Magnus Undén","Henrik Öberg","Magnus Undén, Henrik Öberg"
"29","Missad straff","14:46","","Frida Gustavsson","Röke IBK","Period2","Hovslätts IK - Röke IBK","Straff","Thomas Bergström","Jonas Einarsson","Thomas Bergström, Jonas Einarsson"
"30","Straffmål","00:54","0-2","Emmy Rommedahl","Hovslätts IK","Period2","FBC Kalmarsund - Hovslätts IK","Straff","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"31","Räddad straff","19:46","","Sandra Larsson","Ersboda SK","Period1","Hammarby IF IBF - Ersboda SK","Straff","Per Fallbjörk","Mattias Karlsson","Per Fallbjörk, Mattias Karlsson"
"32","Missad straff","18:38","","Camilla Granström","IBF Dalen","Period1","Åkersberga IBF - IBF Dalen","Straff","Anders Asp","Per Rosén","Anders Asp, Per Rosén"
