"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"13","Missad straff","18:22","","Felix Pihlajamaa-Jonsson","Täfteå IK","Period1","Rönnskär Railcare IF - Täfteå IK","Straff","Joakim Hagy","Mats Öster","Joakim Hagy, Mats Öster"
"14","Straffmål","07:51","10-3","Hugo Bertilsson","Vindelns IF","Period3","Hörnefors IF - Vindelns IF","Straff","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"15","Straffmål","07:15","5-6","Tim Sjögren","FBC Moröbacke","Period3","FBC Moröbacke - Vindelns IF","Straff","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"16","Straffmål","17:24","5-5","Adam Lidgren","Obbola IK","Period2","Obbola IK - Hörnefors IF","Straff","Jonas Ahlehjelm","Mats Öster","Jonas Ahlehjelm, Mats Öster"
"17","Missad straff","16:18","","Filip Bernhardtson","Obbola IK","Period2","IK SPIF Umeå - Obbola IK","Straff","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"18","Straffmål","19:29","0-2","Casper Ericsson","IBS Dalen","Period1","Gimonäs Umeå IBF - IBS Dalen","Straff","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"19","Räddad straff","08:39","","Joel Johansson","Clemensnäs IF","Period2","Clemensnäs IF - FBC Moröbacke","Straff","Ville Hedsberg","Johan Rönnberg","Ville Hedsberg, Johan Rönnberg"
"20","Missad straff","01:08","","Jonathan Paulsson-Smedborn","Gimonäs Umeå IBF","Period1","Gimonäs Umeå IBF - IBS Dalen","Straff","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"21","Missad straff","09:22","","Samuel Hallin","Gimonäs Umeå IBF","Period2","Gimonäs Umeå IBF - IBS Dalen","Straff","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"22","Straffmål","15:58","0-1","Jim Johansson","Obbola IK","Period1","Vindelns IF - Obbola IK","Straff","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"23","Räddad straff","16:51","","Hugo Bertilsson","Vindelns IF","Period3","Vindelns IF - Obbola IK","Straff","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"24","Missad straff","19:34","","Hannes Högberg","IK SPIF Umeå","Period3","IK SPIF Umeå - IBS Dalen","Straff","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"25","Missad straff","12:42","","Marcus Königsson","Hörnefors IF","Period2","Hörnefors IF - Holmsund City IBC","Straff","Mats Erelund","Mats Öster","Mats Erelund, Mats Öster"
"26","Straffmål","12:39","5-9","Mikael Hjelm","Holmsund City IBC","Period3","Holmsund City IBC - Täfteå IK","Straff","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"27","Straffmål","13:38","6-9","Oskar Sandström","Täfteå IK","Period3","Holmsund City IBC - Täfteå IK","Straff","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
