"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"179","Straffmål","10:39","3-3","Oskar Weissbach","Pixbo Wallenstam IBF","Period2","IK Zenith - Pixbo Wallenstam IBF","Straff","Oliver Engström","Kevin Larsson","Oliver Engström, Kevin Larsson"
"180","Straffmål","07:11","1-1","Isak Stöckel","IBK Lockerud Mariestad","Period1","Surahammars IBF - IBK Lockerud Mariestad","Straff","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"181","Straffmål","17:28","6-7","Oscar Liljegrahn","IBK Lockerud Mariestad","Period3","Surahammars IBF - IBK Lockerud Mariestad","Straff","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"182","Straffmål","17:03","8-1","Jesper Husberg","FBC Kalmarsund Ungdom","Period3","FBC Kalmarsund Ungdom - Warberg IBF","Straff","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"183","Straffmål","11:39","4-6","Malte Lundmark","IBF Falun Ungdom","Period3","GS 86 AIF - IBF Falun Ungdom","Straff","Oscar Carlsvärd","Erik Norin","Oscar Carlsvärd, Erik Norin"
"184","Missad straff","10:20","","Ludvig Eriksson","Stenungsunds IBK","Period2","Stenungsunds IBK - Fristads GoIF","Straff","Oliver Engström","Kevin Larsson","Oliver Engström, Kevin Larsson"
"185","Missad straff","07:32","","Gustav Franzon","Skurups IBK","Period2","Röke IBK - Skurups IBK","Straff","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"186","Missad straff","15:01","","Simon Carlsson","IBK Alingsås","Period2","IBK Lidköping - IBK Alingsås","Straff","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"187","Straffmål","14:56","6-3","Patric Kettil","Fristads GoIF","Period3","IK Zenith - Fristads GoIF","Straff","Jesper Rygert","Håkan Söderman","Jesper Rygert, Håkan Söderman"
"188","Straffmål","07:48","3-4","Mika Mikkonen","Olofströms IBK","Period2","Olofströms IBK - Halmstads IBK","Straff","Jesper Axelsson","Henrik Lord Johansson","Jesper Axelsson, Henrik Lord Johansson"
"189","Räddad straff","19:51","","Linus Mohlin","Halmstads IBK","Period3","Olofströms IBK - Halmstads IBK","Straff","Jesper Axelsson","Henrik Lord Johansson","Jesper Axelsson, Henrik Lord Johansson"
"190","Straffmål","15:37","2-12","Casper Lanehed","IBF Västerås","Period3","IBF Västerås - IBK Lockerud Mariestad","Straff","Christer Avasjö","Jonas Holm","Christer Avasjö, Jonas Holm"
"191","Missad straff","16:12","","Simon Lindblad","IBK Lund Elit","Period1","IBK Lund Elit - FBC Kalmarsund Ungdom","Straff","Johan Holmåker","Jens Staaf","Johan Holmåker, Jens Staaf"
"192","Straffmål","05:35","1-1","Anton Kidell","Växjö IBK U","Period1","Röke IBK - Växjö IBK U","Straff","Kevin Cardell","Rickard Nilsson","Kevin Cardell, Rickard Nilsson"
"193","Straffmål","03:18","2-1","Victor Schedin","Hässelby SK IBK","Period2","Hässelby SK IBK - Bele Barkarby IF IBF","Straff","Leif Borglund","Shari Tingman","Leif Borglund, Shari Tingman"
