"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"95",95,"Utvisning","13:31",NA,"Nelly Saari","Spöland Vännäs IF","Period3","Protest mot domslut",2,"Ersboda SK - Spöland Vännäs IF","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"96",96,"Utvisning","13:31",NA,"Tommy Larsson","Spöland Vännäs IF","Period3","Osportsligt uppträdande",12,"Ersboda SK - Spöland Vännäs IF","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"97",97,"Utvisning","06:12",NA,"Janna Hall","Sandåkerns SK","Period2","Hårt spel 2",2,"Sandåkerns SK - Ersboda SK","Anastasia Oberlauf","Morgan Poopuu","Anastasia Oberlauf, Morgan Poopuu"
"98",98,"Utvisning","04:29",NA,"Linnea Lindström","Sandåkerns SK","Period3","Otillåten trängning",2,"Sandåkerns SK - Ersboda SK","Anastasia Oberlauf","Morgan Poopuu","Anastasia Oberlauf, Morgan Poopuu"
"99",99,"Utvisning","05:21",NA,"Alice Selin","Ersboda SK","Period3","Hands",2,"Sandåkerns SK - Ersboda SK","Anastasia Oberlauf","Morgan Poopuu","Anastasia Oberlauf, Morgan Poopuu"
"100",100,"Utvisning","18:08",NA,"Sofia Johansson","Ersboda SK","Period3","Otillåten trängning",2,"Sandåkerns SK - Ersboda SK","Anastasia Oberlauf","Morgan Poopuu","Anastasia Oberlauf, Morgan Poopuu"
"101",101,"Utvisning","00:00",NA,"Jonna Lönn","Röbäcks IF","Period2","Fördröjande av spelet",2,"Ersboda SK - Röbäcks IF","Manuel Garzon","Christoffer Lind","Manuel Garzon, Christoffer Lind"
"102",102,"Utvisning","04:52",NA,"Emilia Lönn","Röbäcks IF","Period2","Otillåten trängning",2,"Ersboda SK - Röbäcks IF","Manuel Garzon","Christoffer Lind","Manuel Garzon, Christoffer Lind"
"103",103,"Utvisning","00:00",NA,"Veronica Boman","Ersboda SK","Period3","Otillåten trängning",2,"Ersboda SK - Röbäcks IF","Manuel Garzon","Christoffer Lind","Manuel Garzon, Christoffer Lind"
"104",104,"Utvisning","13:08",NA,"Elsa Holmberg","Röbäcks IF","Period3","Felaktigt avstånd",2,"Ersboda SK - Röbäcks IF","Manuel Garzon","Christoffer Lind","Manuel Garzon, Christoffer Lind"
"105",105,"Utvisning","12:12",NA,"Alva Pettersson","Kågedalens AIF","Period1","Slag",2,"Kågedalens AIF - Örnsköldsvik IBF","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"106",106,"Utvisning","07:40",NA,"Ida Holmbom","Kågedalens AIF","Period2","Hands",2,"Kågedalens AIF - Örnsköldsvik IBF","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"107",107,"Utvisning","01:40",NA,"Lina Haga","Örnsköldsvik IBF","Period3","Låsning av klubba",2,"Kågedalens AIF - Örnsköldsvik IBF","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"108",108,"Utvisning","07:00",NA,"Emma Gustavsson","Sävar IK","Period1","Slag",2,"Sävar IK - Gimonäs Umeå IF","Kim Fallbjörk","Rasmus Säfvenberg","Kim Fallbjörk, Rasmus Säfvenberg"
"109",109,"Utvisning","18:46",NA,"Smilla Lundberg","Gimonäs Umeå IF","Period1","Slag",2,"Sävar IK - Gimonäs Umeå IF","Kim Fallbjörk","Rasmus Säfvenberg","Kim Fallbjörk, Rasmus Säfvenberg"
"110",110,"Utvisning","19:19",NA,"Moa Bergsdorf","Gimonäs Umeå IF","Period1","Hårt spel 2",2,"Sävar IK - Gimonäs Umeå IF","Kim Fallbjörk","Rasmus Säfvenberg","Kim Fallbjörk, Rasmus Säfvenberg"
"111",111,"Utvisning","06:55",NA,"Mirja Eriksson","Sävar IK","Period3","Hårt spel 2",2,"Sävar IK - Gimonäs Umeå IF","Kim Fallbjörk","Rasmus Säfvenberg","Kim Fallbjörk, Rasmus Säfvenberg"
